,Gross domestic product 2023,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 27,360,935 ",
CHN,2,,China," 17,794,782 ",
DEU,3,,Germany," 4,456,081 ",
JPN,4,,Japan," 4,212,945 ",
IND,5,,India," 3,549,919 ",
GBR,6,,United Kingdom," 3,340,032 ",
FRA,7,,France," 3,030,904 ",
ITA,8,,Italy," 2,254,851 ",
BRA,9,,Brazil," 2,173,666 ",
CAN,10,,Canada," 2,140,086 ",
RUS,11,,Russian Federation," 2,021,421 ",a
MEX,12,,Mexico," 1,788,887 ",
AUS,13,,Australia," 1,723,827 ",
KOR,14,,"Korea, Rep."," 1,712,793 ",
ESP,15,,Spain," 1,580,695 ",
IDN,16,,Indonesia," 1,371,171 ",
NLD,17,,Netherlands," 1,118,125 ",
TUR,18,,Türkiye," 1,108,022 ",
SAU,19,,Saudi Arabia," 1,067,583 ",
CHE,20,,Switzerland," 884,940 ",
POL,21,,Poland," 811,229 ",
ARG,22,,Argentina," 640,591 ",
BEL,23,,Belgium," 632,217 ",
SWE,24,,Sweden," 593,268 ",
IRL,25,,Ireland," 545,629 ",
AUT,26,,Austria," 516,034 ",
THA,27,,Thailand," 514,945 ",
ISR,28,,Israel," 509,901 ",
ARE,29,,United Arab Emirates," 504,173 ",
SGP,30,,Singapore," 501,428 ",
NOR,31,,Norway," 485,513 ",
BGD,32,,Bangladesh," 437,415 ",
PHL,33,,Philippines," 437,146 ",
VNM,34,,Viet Nam," 429,717 ",
DNK,35,,Denmark," 404,199 ",
IRN,36,,"Iran, Islamic Rep."," 401,505 ",
MYS,37,,Malaysia," 399,649 ",
EGY,38,,"Egypt, Arab Rep."," 395,926 ",
HKG,39,,"Hong Kong SAR, China"," 382,055 ",
ZAF,40,,South Africa," 377,782 ",
COL,41,,Colombia," 363,540 ",
NGA,42,,Nigeria," 362,815 ",
ROU,43,,Romania," 351,003 ",
PAK,44,,Pakistan," 338,368 ",
CHL,45,,Chile," 335,533 ",
CZE,46,,Czech Republic," 330,858 ",
FIN,47,,Finland," 300,187 ",
PRT,48,,Portugal," 287,080 ",
PER,49,,Peru," 267,603 ",
KAZ,50,,Kazakhstan," 261,421 ",
NZL,51,,New Zealand," 253,466 ",
IRQ,52,,Iraq," 250,843 ",
DZA,53,,Algeria," 239,899 ",
GRC,54,,Greece," 238,206 ",
QAT,55,,Qatar," 235,770 ",
HUN,56,,Hungary," 212,389 ",
UKR,57,,Ukraine," 178,757 ",a
ETH,58,,Ethiopia," 163,698 ",
KWT,59,,Kuwait," 161,772 ",
MAR,60,,Morocco," 141,109 ",b
SVK,61,,Slovak Republic," 132,794 ",
DOM,62,,Dominican Republic," 121,444 ",
ECU,63,,Ecuador," 118,845 ",
PRI,64,,Puerto Rico," 117,902 ",
SDN,65,,Sudan," 109,327 ",
OMN,66,,Oman," 108,192 ",
KEN,67,,Kenya," 107,441 ",
GTM,68,,Guatemala," 102,050 ",
BGR,69,,Bulgaria," 101,584 ",
UZB,70,,Uzbekistan," 90,889 ",
CRI,71,,Costa Rica," 86,498 ",
LUX,72,,Luxembourg," 85,755 ",
AGO,73,,Angola," 84,723 ",
LKA,74,,Sri Lanka," 84,357 ",
PAN,75,,Panama," 83,382 ",
HRV,76,,Croatia," 82,689 ",
TZA,77,,Tanzania," 79,158 ",c
CIV,78,,Côte d'Ivoire," 78,789 ",
LTU,79,,Lithuania," 77,836 ",
URY,80,,Uruguay," 77,241 ",
GHA,81,,Ghana," 76,370 ",
SRB,82,,Serbia," 75,187 ",
AZE,83,,Azerbaijan," 72,356 ",
BLR,84,,Belarus," 71,857 ",
SVN,85,,Slovenia," 68,217 ",
COD,86,,"Congo, Dem. Rep."," 66,383 ",
MMR,87,,Myanmar," 64,815 ",
TKM,88,,Turkmenistan," 59,887 ",
JOR,89,,Jordan," 50,814 ",
LBY,90,,Libya," 50,492 ",
UGA,91,,Uganda," 49,273 ",
TUN,92,,Tunisia," 48,530 ",
CMR,93,,Cameroon," 47,946 ",
MAC,94,,"Macao SAR, China"," 47,062 ",
BOL,95,,Bolivia," 45,850 ",
LVA,96,,Latvia," 43,627 ",
BHR,97,,Bahrain," 43,205 ",
PRY,98,,Paraguay," 42,956 ",
NPL,99,,Nepal," 40,908 ",
EST,100,,Estonia," 40,745 ",
HND,101,,Honduras," 34,401 ",
SLV,102,,El Salvador," 34,016 ",
CYP,103,,Cyprus," 32,230 ",d
KHM,104,,Cambodia," 31,773 ",
ISL,105,,Iceland," 31,020 ",
SEN,106,,Senegal," 31,014 ",
PNG,107,,Papua New Guinea," 30,932 ",
GEO,108,,Georgia," 30,536 ",e
ZMB,109,,Zambia," 28,163 ",
TTO,110,,Trinidad and Tobago," 28,140 ",
BIH,111,,Bosnia and Herzegovina," 27,055 ",
ZWE,112,,Zimbabwe," 26,538 ",
ARM,113,,Armenia," 24,212 ",
GIN,114,,Guinea," 23,612 ",
ALB,115,,Albania," 22,978 ",
MLT,116,,Malta," 20,957 ",
MLI,117,,Mali," 20,905 ",
MOZ,118,,Mozambique," 20,625 ",
GAB,119,,Gabon," 20,516 ",
BFA,120,,Burkina Faso," 20,325 ",
MNG,121,,Mongolia," 19,872 ",
HTI,122,,Haiti," 19,851 ",
BEN,123,,Benin," 19,673 ",
JAM,124,,Jamaica," 19,423 ",
BWA,125,,Botswana," 19,396 ",
LBN,126,,Lebanon," 17,937 ",
NIC,127,,Nicaragua," 17,829 ",
PSE,128,,West Bank and Gaza," 17,396 ",
NER,129,,Niger," 16,819 ",
GUY,130,,Guyana," 16,786 ",
MDA,131,,Moldova," 16,539 ",f
MDG,132,,Madagascar," 16,032 ",
